japanese,english,pastTense,pastParticiple
始める、始まる,begin,began,begun
吹く,blow,blew,blown
持ってくる,bring,brought,brought
建てる,build,built,built
買う,buy,bought,bought
来る,come,came,come
する,do,did,done
描く,draw,drew,drawn
飲む,drink,drank,drunk
食べる,eat,ate,eaten
感じる,feel,felt,felt
見つける,find,found,found
飛ぶ,fly,flew,flown
忘れる,forget,forgot,forgotten
得る,get,got,gotten
与える、あげる,give,gave,given
行く,go,went,gone
成長する、育つ,grow,grew,grown
持つ,have,had,had
聞く、聞こえる,hear,heard,heard
つかむ,catch,caught,caught
保つ、保持する,keep,kept,kept
知る,know,knew,known
去る、残す、放っておく,leave,left,left
失う、負ける,lose,lost,lost
作る,make,made,made
意味する,mean,meant,meant
会う,meet,met,met
間違える,mistake,mistook,mistaken
読む,read,read,read
乗る,ride,rode,ridden
走る,run,ran,run
言う,say,said,said
見る,see,saw,seen
売る,sell,sold,sold
送る,send,sent,sent
歌う,sing,sang,sung
座る,sit,sat,sat
眠る,sleep,slept,slept
話す,speak,spoke,spoken
過ごす、費やす,spend,spent,spent
立つ,stand,stood,stood
取る,take,took,taken
教える,teach,taught,taught
伝える、告げる,tell,told,told
思う、考える,think,thought,thought
理解する、わかる,understand,understood,understood
着る、身につける,wear,wore,worn
勝つ,win,won,won
書く,write,wrote,written
